file_name,extension,size,duration,video_codec,audio_codec,resolution
CZAROWNICA I (Maleficent) (2014) (BluRay.4K.2160p.HEVC.H265.AC3) - oryginalny dubbing PL.mkv,.mkv,4.39 GB,1:37:28,hevc,ac3,3840x1600
Sonic The Hedgehog (2020) 1080p AV1 DDP Atmos [UnAV1Chain].mkv,.mkv,1.38 GB,1:38:54,av1,eac3,1920x804
The.Witcher.Sirens.Of.The.Deep.2025.1080p.WEB.H264-AccomplishedYak.mkv,.mkv,3.65 GB,1:31:57,h264,eac3,1920x1080
Han Solo.mp4,.mp4,1.24 GB,2:14:46,h264,aac,854x360
Rogue.One.2016.1080p.BluRay.x265.mp4,.mp4,2.09 GB,2:13:57,hevc,aac,1920x804
Star.Wars.Episode.I.The.Phantom.Menace.1999.1080p.BluRay.x265.mp4,.mp4,2.12 GB,2:16:11,hevc,aac,1920x804
Star.Wars.Episode.II.Attack.of.the.Clones.2002.1080p.BluRay.x265.mp4,.mp4,2.22 GB,2:22:29,hevc,aac,1920x804
Star.Wars.Episode.III.Revenge.of.the.Sith.2005.1080p.BluRay.x265.mp4,.mp4,2.18 GB,2:20:06,hevc,aac,1920x804
Star.Wars.Episode.IV.A.New.Hope.1977.1080p.BluRay.x265.mp4,.mp4,1.94 GB,2:04:44,hevc,aac,1920x804
Star.Wars.Episode.V.The.Empire.Strikes.Back.1980.1080p.BluRay.x265.mp4,.mp4,1.99 GB,2:07:23,hevc,aac,1920x804
Star.Wars.Episode.VI.Return.of.the.Jedi.1983.1080p.BluRay.x265.mp4,.mp4,2.10 GB,2:14:47,hevc,aac,1920x804
Asteriks i Obeliks Osiedle Bogów.mp4,.mp4,1.52 GB,1:22:04,h264,aac,1280x720
bracia lwie serce.mp4,.mp4,1.32 GB,1:41:51,mpeg4,aac,1280x720
Ekspres polarny.mp4,.mp4,1.73 GB,1:39:56,h264,aac,1280x528
Elf.mp4,.mp4,0.61 GB,1:36:43,h264,aac,852x480
Jumanji (1995).mp4,.mp4,1.08 GB,1:43:44,h264,aac,1280x720
Klaus.mp4,.mp4,1.93 GB,1:31:35,h264,aac,1280x720
Kubuś i Hefalumpy.mp4,.mp4,0.42 GB,1:09:05,h264,aac,854x480
Kubuś i przyjaciele.mp4,.mp4,0.64 GB,1:03:04,h264,aac,1280x720
Osobliwy dom Pani Peregrine.mp4,.mp4,1.17 GB,2:06:55,h264,aac,854x460
ParaNorman 2012 1080p BluRay x265.mp4,.mp4,1.44 GB,1:32:15,hevc,aac,1920x800
Planeta 51.mp4,.mp4,1.68 GB,1:31:01,h264,aac,1280x544
