file_name,extension,size,duration,video_codec,audio_codec,resolution
2024-09-07 21-40-51.mkv,.mkv,0.01 GB,0:00:10,h264,aac,1920x1080
2024-09-07 22-23-46.mkv,.mkv,0.01 GB,0:00:05,h264,aac,1920x1080
2024-09-08 11-23-36.mkv,.mkv,0.03 GB,0:00:12,h264,aac,1920x1080
2024-09-08 11-51-29.mkv,.mkv,0.04 GB,0:00:14,h264,aac,1920x1080
2025-02-14 03-58-17.mkv,.mkv,0.05 GB,0:09:15,h264,aac,1920x1080
2025-02-16 21-07-57 - kopia.mkv,.mkv,0.05 GB,0:09:43,h264,aac,1920x1080
2025-02-16 21-07-57 - Prezentacja - Projekt API.mkv,.mkv,0.04 GB,0:09:43,h264,vorbis,1920x1080
2025-02-16 21-07-57.mkv,.mkv,0.05 GB,0:09:43,h264,aac,1920x1080
2025-03-12 11-50-46.mkv,.mkv,0.72 GB,1:24:40,h264,aac,1920x1080
4os hard 27.12.2024.mp4,.mp4,0.44 GB,0:30:36,h264,aac,1280x720
Trader no sound Comparison.mp4,.mp4,0.03 GB,0:00:36,h264,aac,1920x1080
Bad batch - S01E01.mkv,.mkv,3.16 GB,1:11:08,h264,eac3,1920x1080
Bad batch - S01E02.mkv,.mkv,1.19 GB,0:27:12,h264,eac3,1920x1080
Bad batch - S01E03.mkv,.mkv,1.18 GB,0:24:46,h264,eac3,1920x1080
Bad batch - S01E04.mkv,.mkv,1.06 GB,0:23:06,h264,eac3,1920x1080
Bad batch - S01E05.mkv,.mkv,1.06 GB,0:22:37,h264,eac3,1920x1080
Bad batch - S01E06.mkv,.mkv,1.06 GB,0:21:27,h264,eac3,1920x1080
Bad batch - S01E07.mkv,.mkv,1.26 GB,0:25:00,h264,eac3,1920x1080
Bad batch - S01E08.mkv,.mkv,1.14 GB,0:23:51,h264,eac3,1920x1080
Bad batch - S01E09.mkv,.mkv,1.12 GB,0:24:40,h264,eac3,1920x1080
Bad batch - S01E10.mkv,.mkv,1.11 GB,0:25:20,h264,eac3,1920x1080
Bad batch - S01E11.mkv,.mkv,1.06 GB,0:25:38,h264,eac3,1920x1080
Bad batch - S01E12.mkv,.mkv,1.06 GB,0:25:34,h264,eac3,1920x1080
Bad batch - S01E13.mkv,.mkv,1.24 GB,0:25:25,h264,eac3,1920x1080
Bad batch - S01E14.mkv,.mkv,1.15 GB,0:25:57,h264,eac3,1920x1080
Bad batch - S01E15.mkv,.mkv,1.15 GB,0:24:07,h264,eac3,1920x1080
Bad batch - S01E16.mkv,.mkv,1.28 GB,0:26:11,h264,eac3,1920x1080
Bad batch - S02E01.mkv,.mkv,1.05 GB,0:21:54,h264,eac3,1920x1080
Bad batch - S02E02.mkv,.mkv,1.19 GB,0:25:28,h264,eac3,1920x1080
Bad batch - S02E03.mkv,.mkv,1.26 GB,0:27:46,h264,eac3,1920x1080
Bad batch - S02E04.mkv,.mkv,1.09 GB,0:23:10,h264,eac3,1920x1080
Bad batch - S02E05.mkv,.mkv,1.28 GB,0:27:06,h264,eac3,1920x1080
Bad batch - S02E06.mkv,.mkv,1.22 GB,0:25:58,h264,eac3,1920x1080
Bad batch - S02E07.mkv,.mkv,1.28 GB,0:26:25,h264,eac3,1920x1080
Bad batch - S02E08.mkv,.mkv,1.36 GB,0:28:18,h264,eac3,1920x1080
Bad batch - S02E09.mkv,.mkv,1.28 GB,0:27:40,h264,eac3,1920x1080
Bad batch - S02E10.mkv,.mkv,1.27 GB,0:27:07,h264,eac3,1920x1080
Bad batch - S02E11.mkv,.mkv,1.36 GB,0:27:26,h264,eac3,1920x1080
Bad batch - S02E12.mkv,.mkv,1.24 GB,0:28:56,h264,eac3,1920x1080
Bad batch - S02E13.mkv,.mkv,1.20 GB,0:25:32,h264,eac3,1920x1080
Bad batch - S02E14.mkv,.mkv,1.06 GB,0:26:25,h264,eac3,1920x1080
Bad batch - S02E15.mkv,.mkv,0.97 GB,0:24:32,h264,eac3,1920x1080
Bad batch - S02E16.mkv,.mkv,1.24 GB,0:25:27,h264,eac3,1920x1080
Star.Wars.The.Bad.Batch.S03E01.720p.x264-FENiX.mkv,.mkv,0.24 GB,0:30:44,h264,ac3,1280x720
Star.Wars.The.Bad.Batch.S03E02.720p.x264-FENiX.mkv,.mkv,0.22 GB,0:25:28,h264,ac3,1280x720
Star.Wars.The.Bad.Batch.S03E03.1080p.x265-ELiTE.mkv,.mkv,0.25 GB,0:25:18,hevc,ac3,1920x1080
Star.Wars.The.Bad.Batch.S03E04.WEB.x264-TORRENTGALAXY.mkv,.mkv,0.10 GB,0:25:27,h264,aac,720x404
Star.Wars.The.Bad.Batch.S03E05.1080p.x265-ELiTE.mkv,.mkv,0.37 GB,0:25:47,hevc,ac3,1920x1080
Star.Wars.The.Bad.Batch.S03E06.1080p.x265-ELiTE.mkv,.mkv,0.24 GB,0:25:36,hevc,ac3,1920x1080
Star.Wars.The.Bad.Batch.S03E07.1080p.x265-ELiTE.mkv,.mkv,0.23 GB,0:23:14,hevc,ac3,1920x1080
star.wars.the.bad.batch.s03e08.1080p.web.h264.mkv,.mkv,1.16 GB,0:25:38,h264,eac3,1920x1080
Star.Wars.The.Bad.Batch.S03E09.1080p.x265-ELiTE.mkv,.mkv,0.29 GB,0:25:32,hevc,ac3,1920x1080
Star.Wars.The.Bad.Batch.S03E10.1080p.x265-ELiTE.mkv,.mkv,0.26 GB,0:23:18,hevc,ac3,1920x1080
Star.Wars.The.Bad.Batch.S03E11.1080p.x265-ELiTE.mkv,.mkv,0.26 GB,0:22:11,hevc,ac3,1920x1080
Star.Wars.The.Bad.Batch.S03E12.1080p.x265.mkv,.mkv,0.99 GB,0:21:03,h264,eac3,1920x1080
Star.Wars.The.Bad.Batch.S03E13.HDR.2160p.WEB.h265-EDITH.mkv,.mkv,2.52 GB,0:23:55,hevc,eac3,3840x2160
Star.Wars.The.Bad.Batch.S03E14.1080p.x265-ELiTE.mkv,.mkv,0.28 GB,0:22:00,hevc,ac3,1920x1080
Star.Wars.The.Bad.Batch.S03E15.1080p.x265-ELiTE.mkv,.mkv,0.56 GB,0:48:36,hevc,ac3,1920x1080
01 - Steps into Shadow.mp4,.mp4,0.14 GB,0:22:06,h264,aac,1280x720
